incompatibility,year,intensity_level,cumulative_intensity,ep_end,gwno_a
0,2012,0,0,1,750
0,2014,0,0,1,750
0,1967,1,1,1,651
0,1969,0,1,0,651
0,1970,0,1,1,651
0,1973,1,1,1,651
0,2011,0,0,1,625
1,2011,0,0,0,626
1,2012,0,0,0,626
1,2013,0,1,0,626
1,2014,1,1,0,626
1,2015,0,1,0,626
1,2016,0,1,0,626
1,2017,0,1,0,626
1,2018,0,1,0,626
1,2019,0,1,0,626
1,2020,0,1,0,626
1,2011,1,1,1,620
1,2013,0,1,0,620
1,2014,0,1,0,620
1,2015,0,1,1,620
1,2017,0,1,1,620
1,2019,1,1,0,620
1,2020,0,1,0,620
1,2009,0,0,1,432
1,2012,0,0,0,432
1,2013,0,1,0,432
1,2014,0,1,0,432
1,2015,0,1,0,432
1,2016,0,1,0,432
1,2017,0,1,0,432
1,2018,0,1,0,432
1,2019,0,1,0,432
1,2020,0,1,0,432
0,2012,0,0,1,626
0,2008,0,0,1,710
1,2005,0,0,0,771
1,2006,0,0,1,771
0,1991,0,0,1,530
0,1991,0,0,1,775
0,1995,0,0,1,775
0,2000,0,0,0,775
0,2001,0,0,1,775
0,2005,0,0,0,775
0,2006,0,0,0,775
0,2007,0,0,1,775
0,2013,0,0,1,820
1,1947,1,1,0,751
1,1948,1,1,1,751
0,2012,0,0,0,652
0,2013,0,0,0,652
0,2014,0,0,0,652
0,2015,0,0,1,652
1,2014,0,0,1,369
0,2014,1,1,1,369
0,2014,0,0,1,369
0,2014,1,1,0,369
0,2015,1,1,0,369
0,2016,0,1,0,369
0,2017,0,1,0,369
0,2018,0,1,0,369
0,2019,0,1,0,369
0,2020,0,1,0,369
0,2015,0,0,0,365
0,2016,0,0,0,365
0,2017,0,0,0,365
0,2018,0,0,0,365
0,2019,0,0,0,365
0,2020,0,0,0,365
0,2013,1,1,0,652
0,2014,1,1,0,652
0,2015,1,1,0,652
0,2016,1,1,0,652
0,2017,1,1,0,652
0,2018,1,1,0,652
0,2019,0,1,0,652
0,2020,1,1,0,652
0,2015,0,0,1,432
0,2015,0,0,0,700
0,2016,1,1,0,700
0,2017,1,1,0,700
0,2018,1,1,0,700
0,2019,1,1,0,700
0,2020,0,1,0,700
0,2015,0,0,0,471
0,2016,0,0,1,471
0,2019,0,0,1,471
0,2015,0,0,0,436
0,2016,0,0,0,436
0,2017,0,0,0,436
0,2018,0,0,0,436
0,2019,0,1,0,436
0,2020,0,1,0,436
0,2015,0,0,1,483
0,2017,0,0,0,483
0,2018,0,0,0,483
0,2019,0,0,0,483
0,2020,0,0,0,483
0,2015,1,1,0,475
0,2016,1,1,0,475
0,2017,0,1,0,475
0,2018,0,1,0,475
0,2019,1,1,0,475
0,2020,1,1,0,475
0,2015,0,0,1,678
